,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
819060,1965-01-01,6935301,152.0,,1965,1,,,
819061,1965-01-02,6935301,168.0,,1965,1,,,
819062,1965-01-03,6935301,163.0,,1965,1,,,
819063,1965-01-04,6935301,157.0,,1965,1,,,
819064,1965-01-05,6935301,153.0,,1965,1,,,
819065,1965-01-06,6935301,151.0,,1965,1,,,
819066,1965-01-07,6935301,149.0,,1965,1,,,
819067,1965-01-08,6935301,149.0,,1965,1,,,
819068,1965-01-09,6935301,156.0,,1965,1,,,
819069,1965-01-10,6935301,164.0,,1965,1,,,
819070,1965-01-11,6935301,167.0,,1965,1,,,
819071,1965-01-12,6935301,160.0,,1965,1,,,
819072,1965-01-13,6935301,154.0,,1965,1,,,
819073,1965-01-14,6935301,158.0,,1965,1,,,
819074,1965-01-15,6935301,153.0,,1965,1,,,
819075,1965-01-16,6935301,150.0,,1965,1,,,
819076,1965-01-17,6935301,179.0,,1965,1,,,
819077,1965-01-18,6935301,258.0,,1965,1,,,
819078,1965-01-19,6935301,218.0,,1965,1,,,
819079,1965-01-20,6935301,197.0,,1965,1,,,
819080,1965-01-21,6935301,188.0,,1965,1,,,
819081,1965-01-22,6935301,185.0,,1965,1,,,
819082,1965-01-23,6935301,187.0,,1965,1,,,
819083,1965-01-24,6935301,183.0,,1965,1,,,
819084,1965-01-25,6935301,179.0,,1965,1,,,
819085,1965-01-26,6935301,178.0,,1965,1,,,
819086,1965-01-27,6935301,181.0,,1965,1,,,
819087,1965-01-28,6935301,179.0,,1965,1,,,
819088,1965-01-29,6935301,179.0,,1965,1,,,
819089,1965-01-30,6935301,180.0,,1965,1,,,
819090,1965-01-31,6935301,184.0,,1965,1,,,
819091,1965-02-01,6935301,230.0,,1965,2,,,
819092,1965-02-02,6935301,241.0,,1965,2,,,
819093,1965-02-03,6935301,222.0,,1965,2,,,
819094,1965-02-04,6935301,211.0,,1965,2,,,
819095,1965-02-05,6935301,206.0,,1965,2,,,
819096,1965-02-06,6935301,205.0,,1965,2,,,
819097,1965-02-07,6935301,199.0,,1965,2,,,
819098,1965-02-08,6935301,195.0,,1965,2,,,
819099,1965-02-09,6935301,192.0,,1965,2,,,
819100,1965-02-10,6935301,190.0,,1965,2,,,
819101,1965-02-11,6935301,190.0,,1965,2,,,
819102,1965-02-12,6935301,188.0,,1965,2,,,
819103,1965-02-13,6935301,190.0,,1965,2,,,
819104,1965-02-14,6935301,188.0,,1965,2,,,
819105,1965-02-15,6935301,185.0,,1965,2,,,
819106,1965-02-16,6935301,186.0,,1965,2,,,
819107,1965-02-17,6935301,188.0,,1965,2,,,
819108,1965-02-18,6935301,185.0,,1965,2,,,
819109,1965-02-19,6935301,181.0,,1965,2,,,
819110,1965-02-20,6935301,179.0,,1965,2,,,
819111,1965-02-21,6935301,174.0,,1965,2,,,
819112,1965-02-22,6935301,172.0,,1965,2,,,
819113,1965-02-23,6935301,173.0,,1965,2,,,
819114,1965-02-24,6935301,172.0,,1965,2,,,
819115,1965-02-25,6935301,172.0,,1965,2,,,
819116,1965-02-26,6935301,171.0,,1965,2,,,
819117,1965-02-27,6935301,168.0,,1965,2,,,
819118,1965-02-28,6935301,162.0,,1965,2,,,
819119,1965-03-01,6935301,161.0,,1965,3,,,
819120,1965-03-02,6935301,166.0,,1965,3,,,
819121,1965-03-03,6935301,167.0,,1965,3,,,
819122,1965-03-04,6935301,159.0,,1965,3,,,
819123,1965-03-05,6935301,159.0,,1965,3,,,
819124,1965-03-06,6935301,158.0,,1965,3,,,
819125,1965-03-07,6935301,154.0,,1965,3,,,
819126,1965-03-08,6935301,152.0,,1965,3,,,
819127,1965-03-09,6935301,149.0,,1965,3,,,
819128,1965-03-10,6935301,150.0,,1965,3,,,
819129,1965-03-11,6935301,152.0,,1965,3,,,
819130,1965-03-12,6935301,176.0,,1965,3,,,
819131,1965-03-13,6935301,177.0,,1965,3,,,
819132,1965-03-14,6935301,179.0,,1965,3,,,
819133,1965-03-15,6935301,206.0,,1965,3,,,
819134,1965-03-16,6935301,276.0,,1965,3,,,
819135,1965-03-17,6935301,288.0,,1965,3,,,
819136,1965-03-18,6935301,273.0,,1965,3,,,
819137,1965-03-19,6935301,269.0,,1965,3,,,
819138,1965-03-20,6935301,263.0,,1965,3,,,
819139,1965-03-21,6935301,293.0,,1965,3,,,
819140,1965-03-22,6935301,420.0,,1965,3,,,
819141,1965-03-23,6935301,431.0,,1965,3,,,
819142,1965-03-24,6935301,514.0,,1965,3,,,
819143,1965-03-25,6935301,572.0,,1965,3,,,
